ID_REL_PIDLineas;ID_PID;ID_LINEA
PID_LINE_026;4600022667-001-03350-201CA-00002;03351-RW-250-H1-0009-N
PID_LINE_027;4600022667-001-03350-201CA-00002;03351-RW-250-H1-0010-N
PID_LINE_028;4600022667-001-03350-201CA-00002;03351-RW-250-H1-0011-N
PID_LINE_029;4600022667-001-03350-201CA-00002;"03351-GW-2""-C1-0040-N"
PID_LINE_030;4600022667-001-03350-201CA-00002;"03351-PW-2""-C1-0078-N"
PID_LINE_031;4600022667-001-03350-201CA-00002;"03351-GW-2""-C1-0078-N"
PID_LINE_032;4600022667-001-03350-201CA-00003;"03351-PW-2""-C1-0082-N"
PID_LINE_033;4600022667-001-03350-201CA-00003;"03351-CT-6""-C3-0005-R3"
PID_LINE_034;4600022667-001-03350-201CA-00003;"03351-CT-3""-C2-0059-N"
PID_LINE_035;4600022667-001-03350-201CA-00003;"03351-PW-2""-C1-0081-N"
PID_LINE_036;4600022667-001-03350-201CA-00003;"03351-CT-6""-C3-0007-R3"
PID_LINE_037;4600022667-001-03350-201CA-00003;"03351-CT-3""-C2-0061-N"
PID_LINE_038;4600022667-001-03350-201CA-00003;"03351-PW-2""-C1-0028-N"
PID_LINE_039;4600022667-001-03350-201CA-00003;"03351-CT-6""-C3-0018-R3"
