ID_LOG_MAT;MODO_INGRESO;ID_ASIGNACION;ID_MTO;DESC_BODEGA;DIAM_BODEGA;EVENTO;DOCUMENTO;CANT_MOVIMIENTO;FOTO_RESPALDO;UBIC_DESTINO;ID_BULK_ORIGEN;FECHA;USUARIO
c8142720;ASIGNADO A LÍNEA;M-00116;1.511;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142721;ASIGNADO A LÍNEA;M-00117;1.512;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142722;ASIGNADO A LÍNEA;M-00118;1.513;;;RECEPCIÓN;;0,49;;;;12/03/2026;Enzo Santambrogio
c8142723;ASIGNADO A LÍNEA;M-00119;1.514;;;RECEPCIÓN;;0,67;;;;12/03/2026;Enzo Santambrogio
c8142724;ASIGNADO A LÍNEA;M-00120;1.515;;;RECEPCIÓN;;0,77;;;;12/03/2026;Enzo Santambrogio
c8142725;ASIGNADO A LÍNEA;M-00121;1.516;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142726;ASIGNADO A LÍNEA;M-00122;1.517;;;RECEPCIÓN;;0,85;;;;12/03/2026;Enzo Santambrogio
c8142727;ASIGNADO A LÍNEA;M-00123;1.518;;;RECEPCIÓN;;5,79;;;;12/03/2026;Enzo Santambrogio
c8142728;ASIGNADO A LÍNEA;M-00124;1.519;;;RECEPCIÓN;;0,03;;;;12/03/2026;Enzo Santambrogio
c8142729;ASIGNADO A LÍNEA;M-00125;1.520;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142730;ASIGNADO A LÍNEA;M-00126;1.521;;;RECEPCIÓN;;5,05;;;;12/03/2026;Enzo Santambrogio
c8142731;ASIGNADO A LÍNEA;M-00127;1.522;;;RECEPCIÓN;;3,25;;;;12/03/2026;Enzo Santambrogio
c8142732;ASIGNADO A LÍNEA;M-00128;1.523;;;RECEPCIÓN;;2,12;;;;12/03/2026;Enzo Santambrogio
c8142733;ASIGNADO A LÍNEA;M-00129;1.524;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142734;ASIGNADO A LÍNEA;M-00130;1.525;;;RECEPCIÓN;;2,99;;;;12/03/2026;Enzo Santambrogio
c8142735;ASIGNADO A LÍNEA;M-00131;1.526;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142736;ASIGNADO A LÍNEA;M-00132;1.527;;;RECEPCIÓN;;2,38;;;;12/03/2026;Enzo Santambrogio
c8142737;ASIGNADO A LÍNEA;M-00133;1.528;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142738;ASIGNADO A LÍNEA;M-00134;1.529;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142739;ASIGNADO A LÍNEA;M-00135;1.530;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142740;ASIGNADO A LÍNEA;M-00136;1.531;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142741;ASIGNADO A LÍNEA;M-00137;1.532;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142742;ASIGNADO A LÍNEA;M-00138;1.533;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142743;ASIGNADO A LÍNEA;M-00139;1.534;;;RECEPCIÓN;;5,99;;;;12/03/2026;Enzo Santambrogio
c8142744;ASIGNADO A LÍNEA;M-00140;1.535;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142745;ASIGNADO A LÍNEA;M-00141;1.536;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142746;ASIGNADO A LÍNEA;M-00142;1.537;;;RECEPCIÓN;;2,12;;;;12/03/2026;Enzo Santambrogio
c8142747;ASIGNADO A LÍNEA;M-00143;1.538;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142748;ASIGNADO A LÍNEA;M-00144;1.539;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142749;ASIGNADO A LÍNEA;M-00145;1.540;;;RECEPCIÓN;;0,6;;;;12/03/2026;Enzo Santambrogio
c8142750;ASIGNADO A LÍNEA;M-00146;1.541;;;RECEPCIÓN;;1,99;;;;12/03/2026;Enzo Santambrogio
c8142751;ASIGNADO A LÍNEA;M-00147;1.542;;;RECEPCIÓN;;0,6;;;;12/03/2026;Enzo Santambrogio
c8142752;ASIGNADO A LÍNEA;M-00148;1.543;;;RECEPCIÓN;;0,59;;;;12/03/2026;Enzo Santambrogio
c8142753;ASIGNADO A LÍNEA;M-00149;1.544;;;RECEPCIÓN;;0,19;;;;12/03/2026;Enzo Santambrogio
c8142754;ASIGNADO A LÍNEA;M-00150;1.545;;;RECEPCIÓN;;0,17;;;;12/03/2026;Enzo Santambrogio
c8142755;ASIGNADO A LÍNEA;M-00151;1.546;;;RECEPCIÓN;;2,93;;;;12/03/2026;Enzo Santambrogio
c8142756;ASIGNADO A LÍNEA;M-00152;1.547;;;RECEPCIÓN;;3,66;;;;12/03/2026;Enzo Santambrogio
c8142757;ASIGNADO A LÍNEA;M-00153;1.549;;;RECEPCIÓN;;0,16;;;;12/03/2026;Enzo Santambrogio
c8142758;ASIGNADO A LÍNEA;M-00154;1.551;;;RECEPCIÓN;;2,76;;;;12/03/2026;Enzo Santambrogio
c8142759;ASIGNADO A LÍNEA;M-00155;1.552;;;RECEPCIÓN;;1,97;;;;12/03/2026;Enzo Santambrogio
c8142760;ASIGNADO A LÍNEA;M-00156;1.556;;;RECEPCIÓN;;5,65;;;;12/03/2026;Enzo Santambrogio
c8142761;ASIGNADO A LÍNEA;M-00157;1.559;;;RECEPCIÓN;;2,87;;;;12/03/2026;Enzo Santambrogio
c8142762;ASIGNADO A LÍNEA;M-00158;1.560;;;RECEPCIÓN;;0,64;;;;12/03/2026;Enzo Santambrogio
c8142763;ASIGNADO A LÍNEA;M-00159;1.561;;;RECEPCIÓN;;2;;;;12/03/2026;Enzo Santambrogio
c8142764;ASIGNADO A LÍNEA;M-00160;1.562;;;RECEPCIÓN;;2,87;;;;12/03/2026;Enzo Santambrogio
c8142765;ASIGNADO A LÍNEA;M-00161;1.565;;;RECEPCIÓN;;1,98;;;;12/03/2026;Enzo Santambrogio
c8142766;ASIGNADO A LÍNEA;M-00162;1.566;;;RECEPCIÓN;;46,25;;;;12/03/2026;Enzo Santambrogio
c8142767;ASIGNADO A LÍNEA;M-00163;1.567;;;RECEPCIÓN;;8,42;;;;12/03/2026;Enzo Santambrogio
c8142768;ASIGNADO A LÍNEA;M-00164;1.569;;;RECEPCIÓN;;1,99;;;;12/03/2026;Enzo Santambrogio
c8142769;ASIGNADO A LÍNEA;M-00165;1.571;;;RECEPCIÓN;;1,27;;;;12/03/2026;Enzo Santambrogio
c8142770;ASIGNADO A LÍNEA;M-00166;1.573;;;RECEPCIÓN;;2,67;;;;12/03/2026;Enzo Santambrogio
