ID_VALVULA;ID_MTO;ID_LINEA;CLASE;DESCRIPCION;TAG PIPING;Correlativo Maqueta;DIAGRAMA;TAG INSTRUMENTACION;DIAM.;CANTIDAD
VAL043;1.2551;"03351-PW-2""-C1-0089-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL044;1.2552;"03351-PW-2""-C1-0090-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL045;1.2553;"03351-PW-2""-C1-0090-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL046;1.2554;"03351-PW-2""-C1-0088-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL047;1.2555;"03351-PW-2""-C1-0039-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL048;1.2556;"03351-PW-2""-C1-0078-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL049;1.2557;"03351-PW-2""-C1-0038-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL050;1.2558;"03351-PW-2""-C1-0039-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL051;1.2559;"03351-PW-2""-C1-0093-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL052;1.2560;"03351-PW-2""-C1-0025-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
